Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
dzr-mamba,DZR Mamba,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>When you need to mash your pedals but can’t afford to clash with your jeans, the DZR Mambas have you covered! Durable, thanks to rugged PU coated suede, comfortable, thanks to asymmetrical ankle padding, and built to perform with DZR’s Co-Molded powerplate – this is a daily-ride shoe that’s always ready for action.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>Co-Molded Powerplate for performance</li>
<li>Link traction outsole for grip</li>
<li>Adjustable power strap for fit and performance</li>
<li>Reflective heel badge for visibility</li>
<li>Stability upper for fit and comfort</li>
<li>Two-hole cleat compatible</li>
</ul>
</div>",DZR,,Shoes,"Accessories, Apparel, Shoes",true,Size,41,,,,,Shoes - DZR - Mamba Black - 41,907.003303052,shopify,1000000,deny,manual,120.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MAMBA_PAIR_FRONT_WEB.jpg?v=1706000935,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
dzr-mamba,,,,,,,,,42,,,,,Shoes - DZR - Mamba Black - 42,907.003303052,shopify,1000000,deny,manual,120.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MAMBA_PAIR_BACK_WEB.jpg?v=1706000935,2,"",,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mamba,,,,,,,,,43,,,,,Shoes - DZR - Mamba Black - 43,907.003303052,shopify,1000000,deny,manual,120.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mamba,,,,,,,,,44,,,,,Shoes - DZR - Mamba Black - 44,907.003303052,shopify,1000000,deny,manual,120.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mamba,,,,,,,,,45,,,,,Shoes - DZR - Mamba Black - 45,907.003303052,shopify,1000000,deny,manual,120.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
factory-5-lattice-chainring-49t,Factory 5 Lattice Chainring - 49T,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>All fast and no class? Not anymore! The lattice chainring from Factory 5 will turn any racer into a show bike, without sacrificing speed. Precision CNC milled from a single piece of 7075 aluminum, the innovative lattice pattern maintains strength, cuts weight, and looks like a dream.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>BCD: 144</li>
<li>Teeth: 49</li>
<li>Weight: 78g</li>
<li>Lifetime warranty via Factory 5</li>
</ul>
</div>",Factory 5,,Chainrings,"Chainrings, Drivetrain, Parts",true,Color,Black,,,,,Chainring - F5 Lattice - 49T Black,0.0,,1,deny,manual,89.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CHAINRING_F5-LATTICE_BLACK-N-SILVER_FRONT_WEB.jpg?v=1706000931,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CHAINRING_F5-LATTICE_BLACK_WEB.jpg?v=1706000931,lb,,,true,,,true,,,active
factory-5-lattice-chainring-49t,,,,,,,,,Silver,,,,,Chainring - F5 Lattice - 49T Silver,0.0,,1,deny,manual,89.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CHAINRING_F5-LATTICE_BLACK_WEB.jpg?v=1706000931,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CHAINRING_F5-LATTICE_49T-SILVER_WEB.jpg?v=1706000931,lb,,,,,,,,,
factory-5-lattice-chainring-49t,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CHAINRING_F5-LATTICE_49T-SILVER_WEB.jpg?v=1706000931,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
crochet-cycling-gloves,Crochet Cycling Gloves,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Crochet gloves are a cycling classic, providing palm protection that won’t overheat your hands. From the leather padding that tempers buzzing bars, to the terry thumb that makes wiping away sweat a breeze, these gloves will keep your hands happy – and happy hands ride longer!</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>Leather-padded palm</li>
<li>Crochet cotton backing</li>
<li>Terry-cloth thumb</li>
<li>Velcro wrist enclosure</li>
<li>Gloves run slightly large</li>
</ul>
</div>",Cyclone,,Gloves,"Accessories, Apparel, Gloves",true,Size,S,,,,,Gloves - Cyclone Mesh - Black - S,226.977621948,shopify,1000000,deny,manual,9.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLONE_MESH-GLOVES_BLACK_LARGE_SET_03_WEB.jpg?v=1706000927,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLONE_MESH-GLOVES_BLACK_LARGE_SET_03_WEB.jpg?v=1706000927,lb,,,true,,,true,,,active
crochet-cycling-gloves,,,,,,,,,M,,,,,Gloves - Cyclone Mesh - Black - M,226.977621948,shopify,1000000,deny,manual,9.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLONE_MESH-GLOVES_BLACK_LARGE_SET_02_WEB.jpg?v=1706000927,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLONE_MESH-GLOVES_BLACK_LARGE_SET_03_WEB.jpg?v=1706000927,lb,,,,,,,,,
crochet-cycling-gloves,,,,,,,,,L,,,,,Gloves - Cyclone Mesh - Black - L,226.977621948,shopify,1000000,deny,manual,9.00,,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLONE_MESH-GLOVES_BLACK_LARGE_SET_03_WEB.jpg?v=1706000927,lb,,,,,,,,,
dalman-supply-co-rope-locks,Dalman Supply Co. Rope Locks,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Reminiscent of a time when “locking up” was as easy as hitching your horse outside the bar, these rope locks subtly stash a 6.5mm galvanized steel cable to keep your bike safe without sacrificing your style. Perfect for pairing with a u-lock to secure your wheels and accessories, or with your own padlock for quick runs into the shop!</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>26” or 60” cable/rope</li>
<li>Handmade in the USA</li>
<li>
<strong>Lock not included</strong> (this is just the cable)</li>
</ul>
</div>",Dalman Supply Co.,,Locks,"Accessories, Locks",true,Length,"26""",,,,,"Lock - Dalman - 26"" Natural Cab",1133.980925,shopify,1000000,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_26IN-AND-5IN_SET_WEB.jpg?v=1706000924,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_5FT_LONG-JON_COILED_WEB.jpg?v=1706000924,lb,,,true,,,true,,,active
dalman-supply-co-rope-locks,,,,,,,,,"60""",,,,,Lock - Dalman - 5' Long Jon,1133.980925,shopify,1000000,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_5FT_LONG-JON_COILED_WEB.jpg?v=1706000924,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_26IN_NATURAL-CAB_COILED_WEB.jpg?v=1706000924,lb,,,,,,,,,
dalman-supply-co-rope-locks,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_26IN_NATURAL-CAB_COILED_WEB.jpg?v=1706000924,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
dalman-supply-co-rope-locks,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DALMAN-LOCK_5FT_LONG-JON_OPEN_WEB.jpg?v=1706000924,4,"",,,,,,,,,,,,,,,,,,,,,,,,,
park-tool-tw-1-torque-wrench,Park Tool TW-1 Torque Wrench,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>We get it, you’re strong, but stop taking it out on your bolts. Sensitive bike bits and high-end parts require a finer touch, that’s where the Park Tool TW-1 comes in. A beam-style torque wrench keeps things simple so you never need to calibrate, and the 0-60 inch pounds and 0-7 Nm scales give you the range to take your home workshop to the next level.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>1/4"" drive</li>
<li>Includes 3/8"" adaptor</li>
<li>Scales: 0-60 inch pounds and 0-7 Nm</li>
<li>Weight: 14.8oz</li>
</ul>
</div>",Park Tool,,Tools,"Accessories, Tools, Tools and Maintenance",true,Title,Default Title,,,,,"Tool - Park TW-1 Torque 1/4"" Drive",454.000603133,shopify,1000000,deny,manual,100000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PARK-TOOL_-TW-1_TORQUE-1_4IN_WEB.jpg?v=1706000918,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
fly-6-rear-light-and-hd-camera,Fly 6 Rear Light and HD Camera,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>See and be seen. The Fly6 has your back, combining a 30-lumen taillight for keeping you visible on the road, with a 720p video camera for capturing the best of your rides! A little bit of insurance against the unexpected, and an awesome way to record your revelries – the Fly6 is bike tech done right!</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>30-lumen LED light</li>
<li>720p recording with audio</li>
<li>6 hours runtime (video and light)</li>
<li>Out of the box seat post mounting</li>
<li>8gb microSd card included</li>
<li>Weatherproof</li>
</ul>
</div>",Cycliq,,Video Recorders,"Accessories, Lights, Video Recorders",true,Title,Default Title,,,,,Light - Cycliq Fly - Rear,907.003303052,shopify,999995,deny,manual,169.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLIQ-FLY-6_RED_FRONT_WEB.jpg?v=1706000916,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
fly-6-rear-light-and-hd-camera,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLIQ-FLY-6_RED_3RD_2_WEB.jpg?v=1706000916,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
fly-6-rear-light-and-hd-camera,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/CYCLIQ-FLY-6_RED_3RD_WEB.jpg?v=1706000916,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
lezyne-patch-lever-kit,Lezyne Patch/Lever Kit,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Flat tires don’t end rides – unprepared riders do. Don’t be that guy. The Lezyne Patch/Lever Kit has everything you need to get rolling again; tire levers, glueless patches, tube scuffer, and a tire boot, all tucked away in a pocketable aluminum case. There’s no reason to ride unready – now you don’t have to.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>2 power levers</li>
<li>6 glueless patches</li>
<li>1 tire boot/instruction sheet</li>
<li>1 tube scuffer</li>
<li>Aluminum case</li>
<li>weight: 50g</li>
</ul>
</div>",Pure Fix Cycles,,Tools,"Accessories, Patch Kits, Tire Levers, Tools",true,Color,Black,,,,,Tire Lever - Lezyne Kit - Black,226.977621948,shopify,1000000,deny,manual,8.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_SET_WEB.jpg?v=1706000911,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_BLACK_WEB.jpg?v=1706000911,lb,,,true,,,true,,,active
lezyne-patch-lever-kit,,,,,,,,,Gold,,,,,Tire Lever - Lezyne Kit - Gold,226.977621948,shopify,1000000,deny,manual,8.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_BLACK_WEB.jpg?v=1706000911,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GOLD_WEB.jpg?v=1706000911,lb,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,Silver,,,,,Tire Lever - Lezyne Kit - Silver,226.977621948,shopify,1000000,deny,manual,8.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GOLD_WEB.jpg?v=1706000911,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GREY_WEB.jpg?v=1706000911,lb,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,Red,,,,,Tire Lever - Lezyne Kit - Red,226.977621948,shopify,1000000,deny,manual,8.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GREY_WEB.jpg?v=1706000911,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_RED_WEB.jpg?v=1706000911,lb,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_BLACK_3RD_WEB.jpg?v=1706000911,5,"",,,,,,,,,,,,,,,,,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_RED_WEB.jpg?v=1706000911,6,"",,,,,,,,,,,,,,,,,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GOLD_3RD_WEB.jpg?v=1706000911,7,"",,,,,,,,,,,,,,,,,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_GREY_3RD_WEB.jpg?v=1706000911,8,"",,,,,,,,,,,,,,,,,,,,,,,,,
lezyne-patch-lever-kit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/LEZYNE_PATCH-TOOL_RED_3RD_WEB.jpg?v=1706000911,9,"",,,,,,,,,,,,,,,,,,,,,,,,,
crank-bros-candy-1-pedals,Crank Bros Candy 1 Pedals,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Feel connected to the ride like never before. The Crank Bros Candy 1s feature chromoly spindles, stainless steel springs, and a composite platform for extra stability without adding weight. Compatible with any 2-hole cycling shoe and offering 4-way cleat entry, these pedals are the perfect way to explore going clipless. Mash away – your feet aren’t going anywhere.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>4-sided entry</li>
<li>Spindle: Forged scm 435 chromoly</li>
<li>Body: One piece composite</li>
<li>Wing: Stamped steel</li>
<li>Spring: 300 series stainless steel</li>
<li>Float: 15-degres and 20-degrees</li>
<li>Q-factor: 52mm</li>
<li>Cleats: Premium brass cleat w/ shims</li>
<li>Weight: 272g/pair</li>
<li>Warranty: 2 years</li>
</ul>
</div>",Crank Bros,,Pedals,"Clipless Pedals, Parts, Pedals, Upgrades",true,Color,Black,,,,,Pedals - Crankbros - Candy - Black,907.003303052,shopify,1000000,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_SET_WEB.jpg?v=1706000899,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_BLACK_WEB.jpg?v=1706000899,lb,,,true,,,true,,,active
crank-bros-candy-1-pedals,,,,,,,,,Red,,,,,Pedals - Crankbros Candy - Red,907.003303052,shopify,1000000,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_BLACK_WEB.jpg?v=1706000899,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_RED_WEB.jpg?v=1706000899,lb,,,,,,,,,
crank-bros-candy-1-pedals,,,,,,,,,Blue,,,,,Pedals - Crankbros Candy - Blue,907.003303052,shopify,1000000,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_RED_WEB.jpg?v=1706000899,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_BLUE_WEB.jpg?v=1706000899,lb,,,,,,,,,
crank-bros-candy-1-pedals,,,,,,,,,Green,,,,,Pedals - Crankbros Candy - Green,907.003303052,shopify,1000000,deny,manual,59.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_BLUE_WEB.jpg?v=1706000899,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_GREEN_WEB.jpg?v=1706000899,lb,,,,,,,,,
crank-bros-candy-1-pedals,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/PEDALS_CRANK-BROS_CANDY_GREEN_WEB.jpg?v=1706000899,5,"",,,,,,,,,,,,,,,,,,,,,,,,,
kryptonite-series-2-mini-7-u-lock,Kryptonite series 2 Mini-7 U-Lock,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This 7” Mini U-lock is perfect for protecting your ride while you’re away. The 13mm hardened-steel shackle resists cutting and leverage attacks, the colorful vinyl coating looks great and won’t chip your paint, and Kryptonite’s offer of anti-theft protection will give you the peace of mind to park anywhere!</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>13mm Performance hardened-steel shackle</li>
<li>Reinforced hardened cross bar design provides increased protection</li>
<li>High security, disc-style cylinder</li>
<li>Includes frame mount</li>
<li>Includes 2 keys</li>
<li>Kryptonite Key Safe Program</li>
<li>Kryptonite Anti-Theft Protection eligible</li>
<li>Dimensions: 3.25” x 7” (8.2cm x 17.8cm)</li>
<li>Weight: 2.45 lbs (1.11 kgs)</li>
</ul>
</div>",Kryptonite,,Locks,"Accessories, Locks",true,Color,Light Blue,,,,,Lock - Kryptonite - S2 Mini - Blue,1133.980925,shopify,999998,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/bluehuge.jpg?v=1706000890,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/bluehuge.jpg?v=1706000890,lb,,,true,,,true,,,active
kryptonite-series-2-mini-7-u-lock,,,,,,,,,Merlot,,,,,Lock - Kryptonite - S2 Mini - Red,1133.980925,shopify,1000000,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/redhuge.jpg?v=1706000890,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/redhuge.jpg?v=1706000890,lb,,,,,,,,,
kryptonite-series-2-mini-7-u-lock,,,,,,,,,Orange,,,,,Lock - Kryptonite - S2 Mini - Orange,1133.980925,shopify,1000000,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/orangehuge.jpg?v=1706000890,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/orangehuge.jpg?v=1706000890,lb,,,,,,,,,
kryptonite-series-2-mini-7-u-lock,,,,,,,,,White,,,,,Lock - Kryptonite - S2 Mini - White,1133.980925,shopify,1000000,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/whitehuge.jpg?v=1706000890,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/whitehuge.jpg?v=1706000890,lb,,,,,,,,,
kryptonite-series-2-mini-7-u-lock,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/allhuge.jpg?v=1706000890,5,"",,,,,,,,,,,,,,,,,,,,,,,,,
hammer-pull-brass-bell,Hammer Pull Brass Bell,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>With a crystal clear tone and classic good looks, this beautiful brass bell belongs on your bike. Save your voice for serenading and let the Hammer Bell do the work of clearing your path.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>40mm Brass Bell</li>
<li>Alloy Clamp</li>
<li>Will fit 22.2mm or 25.4mm bars</li>
</ul>
</div>",Pure City Cycles,,Bells,"Accessories, Bells",true,Title,Default Title,,,,,Bell - Hammer Pull - Brass,226.977621948,shopify,1000000,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/bellprimary.jpg?v=1706000883,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
hammer-pull-brass-bell,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0839/4961/7434/products/bellsecondary.jpg?v=1706000883,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
